ID,Size (KB),Title,Authors,Author Birth Years,Languages,LCC Subjects
pg10107,438,With British Guns in Italy: A Tribute to Italian Achievement,"Dalton, Hugh Dalton, Baron",1887,en,D501
pg10109,294,The Unspeakable Gentleman,"Marquand, John P. (John Phillips)",1893,en,PS
pg10110,396,The Postmaster's Daughter,"Tracy, Louis",1863,en,PR
pg10112,215,American Political Ideas Viewed from the Standpoint of Universal History,"Fiske, John",1842,en,JK
pg10116,651,All Saints' Day and Other Sermons,"Kingsley, Charles",1819,en,BX
pg10118,474,The Folk-lore of Plants,"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)",1848,en,QK GR
pg10119,309,Adonais,"Shelley, Percy Bysshe",1792,en,PR
pg10120,536,England of My Heart : Spring,"Hutton, Edward",1875,en,DA
pg10122,66,Fairies and Fusiliers,"Graves, Robert",1895,en,PR
pg10123,307,Aunt Jane's Nieces,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
pg10124,262,Aunt Jane's Nieces and Uncle John,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
pg10125,504,The Best Letters of Charles Lamb,"Lamb, Charles",1775,en,PR
pg10126,362,Home-Life of the Lancashire Factory Folk during the Cotton Famine,"Waugh, Edwin",1817,en,HD
pg10132,619,The Sowers,"Merriman, Henry Seton",1862,en,PR
pg10133,101,"The Vigil of Venus and Other Poems by ""Q""","Quiller-Couch, Arthur",1863,en,PR
pg10134,416,"John Wesley, Jr.
The Story of an Experiment","Brummitt, Dan B. (Dan Brearley)",1867,en,PS
pg10136,3044,The Book of Household Management,"Beeton, Mrs. (Isabella Mary)",1836,en,TX
pg10139,498,The Faith of the Millions (2nd series),"Tyrrell, George",1861,en,BX
pg1013,397,The First Men in the Moon,"Wells, H. G. (Herbert George)",1866,en,PR
pg10141,100,"A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck
Delivered before the New-York Historical Society, May 17th, 1870","Bryant, William Cullen",1794,en,PS
pg10142,369,"Maezli
A Story of the Swiss Valleys","Spyri, Johanna",1827,en,PZ
pg10145,152,Turkey: a Past and a Future,"Toynbee, Arnold",1889,en,D501
pg10146,268,"Reminiscences of Pioneer Days in St. Paul
A Collection of Articles Written for and Published in the Daily Pioneer Press","Moore, Frank",1843,en,F590.3
pg10147,1212,America's War for Humanity,"Russell, Thomas Herbert",1862,en,D501
pg10148,607,The Merry Adventures of Robin Hood,"Pyle, Howard",1853,en,PZ PR
pg10149,905,"Home as Found
Sequel to ""Homeward Bound""","Cooper, James Fenimore",1789,en,PS
pg10150,325,Dracula's Guest,"Stoker, Bram",1847,en,PR
pg10159,237,England and the War,"Raleigh, Walter Alexander, Sir",1861,en,D501
pg10163,224,"Mohammedanism
Lectures on Its Origin, Its Religious and Political Growth, and Its Present State","Hurgronje, C. Snouck (Christiaan Snouck)",1857,en,BP
pg10164,255,"The Black Creek Stopping-House, and Other Stories","McClung, Nellie L.",1873,en,PS
pg10165,953,"Across the Zodiac
The Story of a Wrecked Record","Greg, Percy",1836,en,PR
pg10166,485,"What Germany Thinks
Or, The War as Germans see it","Smith, Thomas F. A.",1875,en,D501
pg1016,113,On the Improvement of the Understanding,"Spinoza, Benedictus de",1632,en,B
pg1018,376,The Water-Babies,"Kingsley, Charles",1819,en,PZ
