ID,Size (KB),Title,Authors,Author Birth Years,Languages,LCC Subjects
pg20256,739,Memoir of the Life of John Quincy Adams.,"Quincy, Josiah",1772,en,E300
pg20257,77,A Political Romance,"Sterne, Laurence",1713,en,PR
pg20259,294,Frontier Boys in Frisco,"Roosevelt, Wyn",1870,en,PZ
pg2025,240,My Lady Caprice,"Farnol, Jeffery",1878,en,PR
pg20260,64,Daybreak: A Story for Girls,"Sitwell, Florence Alice",1858,en,PZ
pg20261,364,The Adventures of Harry Revel,"Quiller-Couch, Arthur",1863,en,PR
pg20263,386,"Boswell's Correspondence with the Honourable Andrew Erskine, and His Journal of a Tour to Corsica","Boswell, James",1740,en,PR
pg20264,66,"Parsifal
Story and Analysis of Wagner's Great Opera","Haweis, H. R. (Hugh Reginald)",1839,en,ML
pg20279,416,The Veterinarian,"Korinek, Charles James",1880,en,SF
pg2027,126,"Tartuffe; Or, The Hypocrite",Molière,1622,en,PQ
pg20280,456,The Hill: A Romance of Friendship,"Vachell, Horace Annesley",1861,en,PZ
pg20282,477,"The Working of Steel
Annealing, Heat Treating and Hardening of Carbon and Alloy Steel","Colvin, Fred H. (Fred Herbert)",1867,en,TS
pg20283,287,Women's Wild Oats: Essays on the Re-fixing of Moral Standards,"Hartley, C. Gasquoine (Catherine Gasquoine)",1867,en,HQ
pg20288,156,Edward the Second,"Marlowe, Christopher",1564,en,PR
pg20289,243,"Herein is Love
A Study of the Biblical Doctrine of Love in Its Bearing on Personality, Parenthood, Teaching, and All Other Human Relationships.","Howe, Reuel L.",1905,en,BV
pg20290,1371,"Perley's Reminiscences, v. 1-2
of Sixty Years in the National Metropolis","Poore, Benjamin Perley",1820,en,F106
pg20291,256,Captain Mansana & Mother's Hands,"Bjørnson, Bjørnstjerne",1832,en,PT
pg20292,158,In Happy Valley,"Fox, John",1863,en,PS
pg20293,765,"A Popular History of the Art of Music
From the Earliest Times Until the Present","Mathews, W. S. B. (William Smythe Babcock)",1837,en,ML
pg20294,653,A Handbook of Health,"Hutchinson, Woods",1862,en,RA
pg20296,425,"The Stranger in France
or, a Tour from Devonshire to Paris Illustrated by
Engravings in Aqua Tint of Sketches Taken on the Spot.","Carr, John, Sir",1772,en,DC
pg20299,828,"Unwritten Literature of Hawaii
The Sacred Songs of the Hula","Emerson, Nathaniel Bright",1839,en,PL
pg2029,425,Lahoma,"Ellis, J. Breckenridge (John Breckenridge)",1870,en,PS
pg20300,960,Henry VIII.,"Pollard, A. F. (Albert Frederick)",1869,en,DA
pg20304,148,A Trip to Paris in July and August 1792,"Twiss, Richard",1747,en,DC
pg20305,720,Marion's Faith.,"King, Charles",1844,en,PS
pg2030,407,Legends of Babylon and Egypt in Relation to Hebrew Tradition,"King, L. W. (Leonard William)",1869,en,BM
pg20312,152,Out of the Deep: Words for the Sorrowful,"Kingsley, Charles",1819,en,BV
pg20318,640,"Little Journeys to the Homes of the Great - Volume 14
Little Journeys to the Homes of Great Musicians","Hubbard, Elbert",1856,en,ML
pg20320,506,"Jack Harkaway's Boy Tinker Among The Turks
Book Number Fifteen in the Jack Harkaway Series","Hemyng, Bracebridge",1841,en,PZ
pg20321,202,"A Brief Account of the Destruction of the Indies
Or, a faithful NARRATIVE OF THE Horrid and Unexampled Massacres, Butcheries, and all manner of Cruelties, that Hell and Malice could invent, committed by the Popish Spanish Party on the inhabitants of West-India, TOGETHER With the Devastations of several Kingdoms in America by Fire and Sword, for the space of Forty and Two Years, from the time of its first Discovery by them.","Casas, Bartolomé de las",1484,en,F1401
pg20323,421,That Stick,"Yonge, Charlotte M. (Charlotte Mary)",1823,en,PR
pg20328,609,Simon Dale,"Hope, Anthony",1863,en,PR
pg2032,589,Martin Pippin in the Apple Orchard,"Farjeon, Eleanor",1881,en,PZ PR
pg20330,415,"The Black Wolf's Breed
A Story of France in the Old World and the New, happening in the Reign of Louis XIV","Dickson, Harris",1868,en,PS
pg20332,284,Tabitha's Vacation,"MacArthur, Ruth Brown",1881,en,PZ
pg20335,96,"The Case of Edith Cavell
A Study of the Rights of Non-Combatants","Beck, James M. (James Montgomery)",1861,en,D
pg20336,64,"The Miraculous Revenge
Little Blue Book #215","Shaw, Bernard",1856,en,PR
pg20337,174,"A Narrative Of The Mutiny, On Board His Majesty's Ship Bounty; And The Subsequent Voyage Of Part Of The Crew, In The Ship's Boat","Bligh, William",1754,en,DU
pg2033,349,The Unknown Guest,"Maeterlinck, Maurice",1862,en,BF
pg20345,276,Old Man Savarin and Other Stories,"Thomson, Edward William",1849,en,PS
pg20346,222,"Bell's Cathedrals: The Cathedral Church of Winchester
A Description of Its Fabric and a Brief History of the Episcopal See","Sergeant, Philip Walsingham",1872,en,NA
pg2034,1078,"Waverley; Or, 'Tis Sixty Years Since","Scott, Walter",1771,en,PR
pg20351,79,Jackanapes,"Ewing, Juliana Horatia Gatty",1841,en,PZ
pg20352,709,"The Jest Book
The Choicest Anecdotes and Sayings","Lemon, Mark",1809,en,PN
pg20355,301,Vrouw Grobelaar and Her Leading Cases: Seventeen Short Stories,"Gibbon, Perceval",1879,en,PR
pg20356,135,Hero and Leander and Other Poems,"Marlowe, Christopher",1564,la en,PR
pg20357,237,Jerry,"Webster, Jean",1876,en,PS
pg20358,240,Jerry Junior,"Webster, Jean",1876,en,PS
pg20359,294,The Lovely Lady,"Austin, Mary Hunter",1868,en,PS
pg20360,40,"No Abolition of Slavery
Or the Universal Empire of Love, A poem","Boswell, James",1740,en,PR
pg20361,223,"The Voice of the Machines
An Introduction to the Twentieth Century","Lee, Gerald Stanley",1862,en,PS
pg20362,325,Girls and Women,"Paine, Harriet E. (Harriet Eliza)",1845,en,HQ
pg20365,264,The Young Mountaineers: Short Stories,"Murfree, Mary Noailles",1850,en,PS
pg20366,44,Wonderwings and other Fairy Stories,"Howes, Edith",1872,en,PZ
pg20367,453,The Coming of the King,"Babcock, Bernie",1868,en,PS
pg2036,521,Eight Years' Wanderings in Ceylon,"Baker, Samuel White, Sir",1821,en,DS
pg20370,94,Rhymes of the East and Re-collected Verses,Dum-Dum,1869,en,PR
pg20373,73,"The Dreamers
And Other Poems","Garrison, Theodosia Pickering",1874,en,PS
pg20374,97,"Capitals
A Primer of Information about Capitalization with some Practical Typographic Hints as to the Use of Capitals","Hamilton, Frederick W. (Frederick William)",1860,en,Z
pg20375,956,Watch Yourself Go By,"Field, Al. G. (Alfred Griffith)",1852,en,GV
pg20379,465,A Narrative of Some of the Lord's Dealings with George Müller. Part 1,"Müller, George",1805,en,HV
pg2037,397,Novel Notes,"Jerome, Jerome K. (Jerome Klapka)",1859,en,PR
pg20380,180,Ten Tales,"Coppée, François",1842,en,PQ
pg20383,393,Marriage à la mode,"Ward, Humphry, Mrs.",1851,en,PR
pg20387,184,A Thin Ghost and Others,"James, M. R. (Montague Rhodes)",1862,en,PR
pg20389,584,Historical and Political Essays,"Lecky, William Edward Hartpole",1838,en,D
pg20395,350,The Story of the 2/4th Oxfordshire and Buckinghamshire Light Infantry,"Rose, Geoffrey Keith",1889,en,D501
pg20399,541,Kate Carnegie and Those Ministers,"Maclaren, Ian",1850,en,PR
pg2039,111,Evangeline: A Tale of Acadie,"Longfellow, Henry Wadsworth",1807,en,PS
pg20400,387,On the Heels of De Wet,"James, Lionel",1871,en,DT
pg20402,38,"Beside the Still Waters
A Sermon","Beard, Charles",1827,en,BV
pg20403,314,A Fearful Responsibility and Other Stories,"Howells, William Dean",1837,en,PS
pg20404,30,All Round the Year,"Nesbit, E. (Edith)",1858,en,PR
pg20406,739,Epic and Romance: Essays on Medieval Literature,"Ker, W. P. (William Paton)",1855,en,PN
pg2040,236,Confessions of an English Opium-Eater,"De Quincey, Thomas",1785,en,PR
pg20417,658,"The Outline of Science, Vol. 1 (of 4)
A Plain Story Simply Told","Thomson, J. Arthur (John Arthur)",1861,en,Q
pg20418,596,Lords of the North,"Laut, Agnes C.",1871,en,PS
pg20419,382,Gigolo,"Ferber, Edna",1885,en,PS
pg2041,324,The House of the Wolf: A Romance,"Weyman, Stanley John",1855,en,PR
pg20420,376,Real Ghost Stories,"Stead, W. T. (William Thomas)",1849,en,BF
pg20421,375,"Proserpina, Volume 1
Studies of Wayside Flowers, While the Air was Yet Pure Among the Alps and in the Scotland and England Which My Father Knew","Ruskin, John",1819,en,QK
pg20423,276,Joyous Gard,"Benson, Arthur Christopher",1862,en,PR
pg20424,537,A Son of the Hills,"Comstock, Harriet T. (Harriet Theresa)",1860,en,PS
pg20425,201,The Peace Egg and Other tales,"Ewing, Juliana Horatia Gatty",1841,en,PZ
pg20426,857,Form and Function: A Contribution to the History of Animal Morphology,"Russell, E. S. (Edward Stuart)",1887,en,QL
pg20427,120,"Custer, and Other Poems.","Wilcox, Ella Wheeler",1850,en,PS
pg20428,345,Bertha and Her Baptism,"Adams, Nehemiah",1806,en,BV
pg20429,405,The Seventh Noon,"Bartlett, Frederick Orin",1876,en,PS
pg2042,438,Something New,"Wodehouse, P. G. (Pelham Grenville)",1881,en,PR
pg20430,75,"The After-glow of a Great Reign
Four Addresses Delivered in St. Paul's Cathedral","Winnington Ingram, Arthur F. (Arthur Foley)",1858,en,BX DA
pg20433,57,Women and Politics,"Kingsley, Charles",1819,en,HQ
pg20436,49,Sunshine Factory,Pansy,1841,en,PZ
pg20437,49,The Frog Prince and Other Stories,"Crane, Walter",1845,en,PZ
pg20438,225,Moriah's Mourning and Other Half-Hour Sketches,"Stuart, Ruth McEnery",1856,en,PS
pg20442,75,"A Catalogue of Early Pennsylvania and Other Firearms and Edged Weapons at ""Restless Oaks"", McElhattan, Pa.","Shoemaker, Henry W.",1880,en,U
pg20443,231,The Letter of the Contract,"King, Basil",1859,en,PS
pg20446,65,"'America for Americans!'
The Typical American, Thanksgiving Sermon","Newman, John Philip",1826,en,BV
pg20447,1205,"The Works of Robert G. Ingersoll, Volume VIII.
Interviews","Ingersoll, Robert Green",1833,en,BL AC
pg20448,144,The Wit of a Duck and Other Papers,"Burroughs, John",1837,en,QH
pg20449,417,The Plum Tree,"Phillips, David Graham",1867,en,PS
pg2044,1035,The Education of Henry Adams,"Adams, Henry",1838,en,E151
pg20450,2737,"The Lives of the Fathers, Martyrs, and Principal Saints
January, February, March","Butler, Alban",1711,en,BX
pg20451,296,"The Confessions of Artemas Quibble
Being the Ingenuous and Unvarnished History of Artemas Quibble, Esquire, One-Time Practitioner in the New York Criminal Courts, Together with an Account of the Divers Wiles, Tricks, Sophistries, Technicalities, and Sundry Artifices of Himself and Others of the Fraternity, Commonly Yclept ""Shysters"" or ""Shyster Lawyers""","Train, Arthur Cheney",1875,en,PS
pg20452,508,"Letters of Edward FitzGerald, in Two Volumes. Vol. 1","FitzGerald, Edward",1809,en,PR
pg20453,72,The Christmas Child,"Stretton, Hesba",1832,en,PZ
pg20456,169,"Notes on Certain Maya and Mexican Manuscripts
Third Annual Report of the Bureau of Ethnology to the Secretary of the Smithsonian Institution, 1881-82, Government Printing Office, Washington, 1884, pages 3-66","Thomas, Cyrus",1825,en,E011
pg20458,412,The Triflers,"Bartlett, Frederick Orin",1876,en,PS
pg20459,701,"Hours in a Library, Volume 1 (of 3)","Stephen, Leslie",1832,en,PR
pg2045,685,My Memories of Eighty Years,"Depew, Chauncey M. (Chauncey Mitchell)",1834,en,E660
pg20460,564,"The Citizen-Soldier
or, Memoirs of a Volunteer","Beatty, John",1828,en,E456
pg20461,371,German Culture Past and Present,"Bax, Ernest Belfort",1854,en,DD
pg20462,892,"Ernest Linwood; or, The Inner Life of the Author","Hentz, Caroline Lee",1800,en,PS
pg20463,282,"Three Years on the Plains: Observations of Indians, 1867-1870","Tuttle, Edmund B. (Edmund Bostwick)",1815,en,E011
pg20464,347,A Journey Through France in War Time,"Butler, Joseph G. (Joseph Green)",1840,en,DC
pg20475,1034,The Two Admirals,"Cooper, James Fenimore",1789,en,PS
pg20478,36,"Strong Souls
A Sermon","Beard, Charles",1827,en,BV
pg20480,263,Palmistry for All,Cheiro,1866,en,BF
pg20486,448,Tiverton Tales,"Brown, Alice",1857,en,PS
pg20487,444,"Shakspere, Personal Recollections","Joyce, John A. (John Alexander)",1842,en,PR
pg20488,724,"Henry of Monmouth
Or, Memoirs of the Life and Character of Henry the Fifth, as Prince of Wales and King of England
Volume 1","Tyler, James Endell",1789,en,DA
pg20489,775,"Henry of Monmouth
Or, Memoirs of the Life and Character of Henry the Fifth, as Prince of Wales and King of England
Volume 2","Tyler, James Endell",1789,en,DA
pg20491,248,Kafir Stories: Seven Short Stories,"Scully, W. C. (William Charles)",1855,en,PR
pg20492,136,"Terry; Or, She ought to have been a Boy","Gilbert, Rosa M. (Rosa Mulholland)",1841,en,PZ
pg20493,252,Stories and Sketches,"Caswell, Harriet S.",1834,en,PS
pg20494,571,The Shrieking Pit,"Rees, Arthur J. (Arthur John)",1872,en,PR
pg20496,327,Legends of the Rhine,"Ruland, Wilhelm",1869,en,DD
pg20497,359,Bucholz and the Detectives,"Pinkerton, Allan",1819,en,HV
pg2049,179,"Liber Amoris, Or, The New Pygmalion","Hazlitt, William",1778,en,PR
pg20500,374,A Short History of Greek Philosophy,"Marshall, J. (John)",1845,en,B
pg20504,254,"The Man of Uz, and Other Poems","Sigourney, L. H. (Lydia Howard)",1791,en,PS
pg20509,357,Daring and Suffering: A History of the Great Railroad Adventure,"Pittenger, William",1840,en,E456
pg20510,230,Ade's Fables,"Ade, George",1866,en,PS
pg20512,441,Man and Maid,"Glyn, Elinor",1864,en,PR
pg20513,446,"How to Succeed; Or, Stepping-Stones to Fame and Fortune","Marden, Orison Swett",1848,en,HF
pg20515,487,The Eagle of the Empire: A Story of Waterloo,"Brady, Cyrus Townsend",1861,en,PS
pg20516,219,"Christmas
A Story","Gale, Zona",1874,en,PS
pg20519,462,Highways in Hiding,"Smith, George O. (George Oliver)",1911,en,PS
pg20520,276,"The Hero of the Humber; Or, The History of the Late Mr. John Ellerthorpe","Woodcock, Henry",1830,en,VK
pg20522,428,The Story of the Mind,"Baldwin, James Mark",1861,en,BF
pg20523,137,Religion and Art in Ancient Greece,"Gardner, Ernest Arthur",1862,en,BL
pg20524,330,"Culm Rock
The Story of a Year: What it Brought and What it Taught","Gaylord, Glance",1847,en,PZ
pg20526,320,"Short Story Writing
A Practical Treatise on the Art of The Short Story","Barrett, Charles Raymond",1874,en,PN
pg20528,211,Round About a Great Estate,"Jefferies, Richard",1848,en,SK PR
pg20529,262,Belles and Ringers,"Smart, Hawley",1833,en,PR
pg20532,291,"Love Among the Chickens
A Story of the Haps and Mishaps on an English Chicken Farm","Wodehouse, P. G. (Pelham Grenville)",1881,en,PR
pg20533,653,Jill the Reckless,"Wodehouse, P. G. (Pelham Grenville)",1881,en,PR
pg20534,46,"A Sermon Preached at the Quaker's Meeting House, in Gracechurch-Street, London, Eighth Month 12th, 1694.","Penn, William",1644,en,BX
pg20537,511,The Argonauts,"Orzeszkowa, Eliza",1842,en,PG
pg20539,514,"Letters of Edward FitzGerald, in Two Volumes. Vol. 2","FitzGerald, Edward",1809,en,PR
pg2053,576,"The American Republic: Its Constitution, Tendencies, and Destiny","Brownson, Orestes Augustus",1803,en,JK
pg20540,212,My Man Sandy,"Salmond, James Bell",1891,en,PR
pg20541,168,"The Rocky Island
and Other Similitudes","Wilberforce, Samuel",1805,en,PZ
pg20543,179,"Edward FitzGerald and ""Posh""
""Herring Merchants""","Blyth, James",1864,en,PR
pg20544,85,The Little Skipper: A Son of a Sailor,"Fenn, George Manville",1831,en,PZ
pg20546,619,The Hand in the Dark,"Rees, Arthur J. (Arthur John)",1872,en,PR
pg20547,154,Stories of Birds,"Mulets, Lenore Elizabeth",1876,en,PZ QL
pg20548,634,The Secret of the Storm Country,"White, Grace Miller",1868,en,PS
pg20549,521,"Historic Tales: The Romance of Reality. Vol. 09 (of 15), Scandinavian","Morris, Charles",1833,en,DL
pg20551,201,The White Invaders,"Cummings, Ray",1887,en,PS
pg20553,65,Out Around Rigel,"Wilson, Robert H.",1909,en,PS
pg20555,519,"What Is and What Might Be
A Study of Education in General and Elementary Education in Particular","Holmes, Edmond",1850,en,LB
pg20556,829,"Lamarck, the Founder of Evolution
His Life and Work","Packard, A. S. (Alpheus Spring)",1839,en,QH
pg20559,203,"R. Holmes & Co.
Being the Remarkable Adventures of Raffles Holmes, Esq., Detective and Amateur Cracksman by Birth","Bangs, John Kendrick",1862,en,PS
pg2055,930,Two Years Before the Mast,"Dana, Richard Henry",1815,en,G
pg20560,323,Letters to His Friends,"Robinson, Forbes",1867,en,BX
pg20561,358,Little Ferns For Fanny's Little Friends,"Fern, Fanny",1811,en,PZ
pg20566,44,"Rogers-isms, the Cowboy Philosopher on the Peace Conference","Rogers, Will",1879,en,D501
pg20569,460,"Dulcibel
A Tale of Old Salem","Peterson, Henry",1818,en,PS
pg2056,848,"The Life of William Carey, Shoemaker & Missionary","Smith, George",1833,en,BV
pg20571,341,Woman's Work in Music,"Elson, Arthur",1873,en,ML
pg20572,226,Marie Claire,"Audoux, Marguerite",1863,en,PQ
pg20576,179,Two Suffolk Friends,"Groome, Francis Hindes",1851,en,BX
pg20578,317,Sermons on Biblical Characters,"Chappell, Clovis Gillham",1882,en,BS
pg20579,28,The Frog Who Would A Wooing Go,"Bennett, Charles H. (Charles Henry)",1829,en,PZ
pg2057,405,The Last of the Plainsmen,"Grey, Zane",1872,en,PS
pg20580,457,Napoleon the Little,"Hugo, Victor",1802,en,DC
pg20583,1117,"The Tribes and Castes of the Central Provinces of India, Volume 1","Russell, R. V. (Robert Vane)",1873,en,DS
pg20584,125,You Should Worry Says John Henry,"Hobart, George V. (George Vere)",1867,en,PS
pg20585,1069,"Sartor Resartus, and  On Heroes, Hero-Worship, and the Heroic in History","Carlyle, Thomas",1795,en,PR
pg20587,2207,"Integration of the Armed Forces, 1940-1965","MacGregor, Morris J.",1931,en,UB
pg20588,345,The Wonder Island Boys: Exploring the Island,"Finlay, Roger Thompson",1860,en,PZ
pg2058,132,Messer Marco Polo,"Byrne, Donn",1889,en,PR
pg20590,158,Letters & Lettering: A Treatise with 200 Examples,"Brown, Frank Chouteau",1876,en,NK
pg2059,513,The Little Shepherd of Kingdom Come,"Fox, John",1863,en,PS
pg20606,348,The Magic City,"Nesbit, E. (Edith)",1858,en,PZ
pg20607,69,Rembrandt,"Israëls, Jozef",1824,en,ND
pg20608,421,How to Get on in the World: A Ladder to Practical Success,"Calhoun, A. R. (Alfred Rochefort)",1844,en,BJ
pg20609,130,The Voyageur and Other Poems,"Drummond, William Henry",1854,en,PS
pg20610,1269,The Complete Prose Works of Martin Farquhar Tupper,"Tupper, Martin Farquhar",1810,en,PR
pg20611,541,Mr. Grex of Monte Carlo,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
pg20612,422,Fort Amity,"Quiller-Couch, Arthur",1863,en,PR
pg20614,350,The Wonder Island Boys: The Mysteries of the Caverns,"Finlay, Roger Thompson",1860,en,PZ
pg20615,206,The Master-Knot of Human Fate,"Meredith, Ellis",1865,en,PS
pg20616,136,The Old Front Line,"Masefield, John",1878,en,D501
pg20618,264,"The Boy Land Boomer; Or, Dick Arbuckle's Adventures in Oklahoma","Stratemeyer, Edward",1862,en,PZ
pg2061,80,Shorter Prose Pieces,"Wilde, Oscar",1854,en,PR
pg20626,392,Torchy,"Ford, Sewell",1868,en,PS
pg20627,422,"Torchy, Private Sec.","Ford, Sewell",1868,en,PS
pg20628,399,Torchy and Vee,"Ford, Sewell",1868,en,PS
pg20629,418,Torchy As A Pa,"Ford, Sewell",1868,en,PS
pg2062,190,"All for Love; Or, The World Well Lost: A Tragedy","Dryden, John",1631,en,PR
pg20630,458,The Borough Treasurer,"Fletcher, J. S. (Joseph Smith)",1863,en,PR
pg20631,91,"Chosen Peoples
Being the First ""Arthur Davis Memorial Lecture"" delivered before the Jewish Historical Society at University College on Easter-Passover Sunday, 1918/5678","Zangwill, Israel",1864,en,DS
pg20632,361,Molly Brown's Orchard Home,"Speed, Nell",1878,en,PZ
pg20633,240,Winsome Winnie and other New Nonsense Novels,"Leacock, Stephen",1869,en,PS
pg20634,235,"The Sleeping Bard; Or, Visions of the World, Death, and Hell","Wynne, Ellis",1671,en,PB
pg20638,116,From Plotzk to Boston,"Antin, Mary",1881,en,E151
pg2063,317,The Trail of the White Mule,"Bower, B. M.",1874,en,PS
pg20641,672,"Through Three Campaigns: A Story of Chitral, Tirah and Ashanti","Henty, G. A. (George Alfred)",1832,en,PZ
pg20643,166,The Character and Influence of the Indian Trade in Wisconsin,"Turner, Frederick Jackson",1861,en,E011
pg20645,744,The Family and its Members,"Spencer, Anna Garlin",1851,en,HQ
pg20646,492,"The Nabob, Volume 1","Daudet, Alphonse",1840,en,PQ
pg20649,120,Oomphel in the Sky,"Piper, H. Beam",1904,en,PS
pg2064,341,A Journey to the Western Islands of Scotland,"Johnson, Samuel",1709,en,DA
pg20650,444,Left End Edwards,"Barbour, Ralph Henry",1870,en,PZ
pg20651,422,A Jolly Fellowship,"Stockton, Frank Richard",1834,en,PZ
pg20654,376,Fantasia of the Unconscious,"Lawrence, D. H. (David Herbert)",1885,en,BF
pg20656,139,Old Christmas From the Sketch Book of Washington Irving,"Irving, Washington",1783,en,PS
pg20659,117,Ministry of Disturbance,"Piper, H. Beam",1904,en,PS
pg2065,367,"Dick Hamilton's Airship; Or, A Young Millionaire in the Clouds","Garis, Howard Roger",1873,en,PZ PS
pg20660,590,The Faith of Islam,"Sell, Edward",1839,en,BP
pg20661,148,The Romance of an Old Fool,"Field, Roswell Martin",1851,en,PS
pg20662,701,"The Measurement of Intelligence
An Explanation of and a Complete Guide for the Use of the
Stanford Revision and Extension of the Binet-Simon
Intelligence Scale","Terman, Lewis M. (Lewis Madison)",1877,en,LB
pg20666,98,The Debs Decision,"Nearing, Scott",1883,en,HX
pg20667,664,"A Canyon Voyage
The Narrative of the Second Powell Expedition down the
Green-Colorado River from Wyoming, and the Explorations
on Land, in the Years 1871 and 1872","Dellenbaugh, Frederick Samuel",1853,en,F786
pg20668,1369,"The Tribes and Castes of the Central Provinces of India, Volume 4","Russell, R. V. (Robert Vane)",1873,en,DS
pg2066,574,Wildfire,"Grey, Zane",1872,en,PS
pg20678,204,The Tory Maid,"Stimpson, Herbert Baird",1869,en,PS
pg20693,30,The Jungle Baby,"Farrow, G. E. (George Edward)",1862,en,PZ
pg20694,684,An Inquiry into the Nature of Peace and the Terms of Its Perpetuation,"Veblen, Thorstein",1857,en,JX
pg20695,101,The Spirit of Sweetwater,"Garland, Hamlin",1860,en,PS
pg20697,297,Prairie Folks,"Garland, Hamlin",1860,en,PS
pg20698,229,The Story of Glass,"Bassett, Sara Ware",1872,en,PZ
pg20699,154,Dotty Dimple at Her Grandmother's,"May, Sophie",1833,en,PZ
pg20702,325,"A General Plan for a Mail Communication by Steam, Between Great Britain and the Eastern and Western Parts of the World","MacQueen, James",1778,en,HE
pg20707,445,The Black Star Passes,"Campbell, John W., Jr. (John Wood)",1910,en,PS
pg20709,941,From Pole to Pole: A Book for Young People,"Hedin, Sven Anders",1865,en,G
pg2070,548,To the Last Man,"Grey, Zane",1872,en,PS
pg20710,429,"Pluck on the Long Trail; Or, Boy Scouts in the Rockies","Sabin, Edwin L. (Edwin Legrand)",1870,en,PZ
pg20711,263,Daily Thoughts: selected from the writings of Charles Kingsley by his wife,"Kingsley, Charles",1819,en,BV
pg20712,492,Trail's End,"Ogden, George W. (George Washington)",1871,en,PS
pg20714,460,Other Main-Travelled Roads,"Garland, Hamlin",1860,en,PS
pg20715,42,Marriage and Love,"Goldman, Emma",1869,en,HQ
pg20716,99,The Tale of Timothy Turtle,"Bailey, Arthur Scott",1877,en,PZ
pg20717,400,The Girl on the Boat,"Wodehouse, P. G. (Pelham Grenville)",1881,en,PR
pg20718,59,The Damsel and the Sage: A Woman's Whimsies,"Glyn, Elinor",1864,en,PR
pg20719,451,Under the Country Sky,"Richmond, Grace S. (Grace Smith)",1866,en,PS
pg20721,518,A Little Girl in Old Detroit,"Douglas, Amanda M.",1831,en,PZ
pg20722,411,A Little Girl in Old Salem,"Douglas, Amanda M.",1831,en,PZ
pg20724,358,The Man With The Broken Ear,"About, Edmond",1828,en,PQ
pg20726,147,A Slave is a Slave,"Piper, H. Beam",1904,en,PS
pg20727,391,The Cosmic Computer,"Piper, H. Beam",1904,en,PS
pg20728,404,Space Viking,"Piper, H. Beam",1904,en,PS
pg20729,752,At the Point of the Bayonet: A Tale of the Mahratta War,"Henty, G. A. (George Alfred)",1832,en,PR
pg20730,361,For the Sake of the School,"Brazil, Angela",1869,en,PZ
pg20731,292,Quiet Talks on Power,"Gordon, S. D. (Samuel Dickey)",1859,en,BR
pg20732,420,The Carmina of Caius Valerius Catullus,"Catullus, Gaius Valerius",-84,en,PA
pg20733,223,"Critical Miscellanies (Vol. 1 of 3)
Essay 1: Robespierre","Morley, John",1838,en,DC CT
pg20738,1240,"Diccionario Ingles-Español-Tagalog
Con partes de la oracion y pronunciacion figurada","Calderón, Sofronio G.",1878,es tl en,PL
pg20739,284,Rebels of the Red Planet,"Fontenay, Charles L.",1917,en,PS
pg20743,82,The Marx He Knew,"Spargo, John",1876,en,HB
pg20744,71,Mary S. Peake: The Colored Teacher at Fortress Monroe,"Lockwood, Lewis C. (Lewis Conger)",1815,en,E151
pg20746,867,"The Home; Or, Life in Sweden","Bremer, Fredrika",1801,en,PT
pg20747,366,Deaconesses in Europe and their Lessons for America,"Bancroft, Jane M. (Jane Marie)",1847,en,BV HQ
pg20749,1054,St. Ronan's Well,"Scott, Walter",1771,en,PR
pg20751,217,"Priestley in America
1794-1804","Smith, Edgar Fahs",1854,en,QD
pg20753,348,The Wonder Island Boys:  The Tribesmen,"Finlay, Roger Thompson",1860,en,PZ
pg20754,257,The Blunders of a Bashful Man,"Victor, Metta Victoria Fuller",1831,en,PS
pg20755,1042,Short Studies on Great Subjects,"Froude, James Anthony",1818,en,PR AC
pg20756,517,Rabbi and Priest: A Story,"Goldsmith, Milton",1861,en,PS
pg20758,1576,The Religion of Babylonia and Assyria,"Jastrow, Morris",1861,en,BL
pg20762,432,"Chancellorsville and Gettysburg
Campaigns of the Civil War - VI","Doubleday, Abner",1819,en,E456
pg20763,261,"Carpentry for Boys
In a Simple Language, Including Chapters on Drawing, Laying Out Work, Designing and Architecture With 250 Original Illustrations","Zerbe, James Slough",1850,en,TH
pg20765,184,"Diary of Anna Green Winslow, a Boston School Girl of 1771","Winslow, Anna Green",1759,en,F001
pg20766,170,The Autobiography of Methuselah,"Bangs, John Kendrick",1862,en,PS
pg20767,512,"The Life of Mansie Wauch
Tailor in Dalkeith, written by himself","Moir, D. M. (David Macbeth)",1798,en,PR
pg20768,404,Memories and Studies,"James, William",1842,en,B
pg2076,312,The Civilization of China,"Giles, Herbert Allen",1845,en,DS
pg20770,242,Apple Growing,"Burritt, M. C. (Maurice Chase)",1883,en,SB
pg20776,816,Encyclopedia of Needlework,"Dillmont, Thérèse de",1846,en,TT
pg20781,303,"Heidi
(Gift Edition)","Spyri, Johanna",1827,en,PZ
pg20782,356,Triplanetary,"Smith, E. E. (Edward Elmer)",1890,en,PS
pg20787,102,"Punctuation
A Primer of Information about the Marks of Punctuation and their Use Both Grammatically and Typographically","Hamilton, Frederick W. (Frederick William)",1860,en,Z
pg20788,368,Storm Over Warlock,"Norton, Andre",1912,en,PS
pg20789,306,"The Grammar School Boys Snowbound; or, Dick & Co. at Winter Sports","Hancock, H. Irving (Harrie Irving)",1868,en,PZ
pg20791,510,"For Love of Country
A Story of Land and Sea in the Days of the Revolution","Brady, Cyrus Townsend",1861,en,PS
pg20795,199,The Cricket on the Hearth,"Dickens, Charles",1812,en,PR
pg20796,279,The Colors of Space,"Bradley, Marion Zimmer",1930,en,PS
